"site_id","site","site_name","lat","lon"
1,"BER","Berlin Lake, Portage County, Ohio",41.012,-81.016
2,"LMR","Little Muskingum River, Washington County, Ohio",39.6100925,-81.1183578
3,"SUN","Sunfish Creek, Pike County, Ohio",39.015593,-83.0945
4,"BR","Buckhannon River, Upshur County, West Virginia",38.972,-80.23
5,"ELK","Elk River, Kanawha County, West Virginia",38.4997557,-81.2088848
6,"MIC","Middle Island Creek, Pleasants County, West Virginia",39.4397877,-81.0119047
7,"NKR","New and Kanawha rivers, Kanawha County, West Virginia",38.1595557,-81.201631
8,"NYH","Chautauqua State Fish Hatchery, New York",42.159,-79.43
9,"KH","Kincaid State Fish Hatchery, Ohio",39.1007291,-83.2624998
10,"LH","London State Fish Hatchery, Ohio",39.8967994,-83.5105147
11,"MCH","Minor Clark State Fish Hatchery, Kentucky",38.1136375,-83.5267855
