"site","lat","lon"
"1",46.708,-92.198
"2",46.503,-89.594
"3",46.687,-90.824
"4",48.563,-88.258
"5",48.707,-88.468
"6",46.486,-84.345
"7",44.392,-88.739
"8",44.261,-88.06
"9",45.93,-86.99
"10",43.423,-85.653
"11",43.61,-84.247
"12",44.855,-79.813
"13",42.581,-82.802
"14",42.252,-83.169
"15",41.707,-83.485
"16",41.354,-83.106
"17",41.826,-82.882
"18",41.928,-83.137
"19",41.756,-81.276
"20",41.815,-82.777
"21",42.326,-79.575
"22",42.446,-79.505
"23",42.544,-79.037
"24",42.368,-78.948
"25",42.852,-78.823
"26",42.9,-79.621
"27",44.164,-77.383
"28",44.039,-76.114
"29",43.23,-76.005
