site,site_name,lat,lon
1,Green Cove 1,47.0620961,-122.9375614
2,Green Cove 2,47.0620853,-122.9378308
3,Green Cove 3,47.0614197,-122.9393707
4,Woodard Creek,47.116485,-122.8631941
5,Spurgeon Creek,46.9512087,-122.8487461
6,Hopkins Ditch 1,46.938315,-122.9396633
7,Hopkins Ditch 2,46.94214,-122.950157
8,Hopkins Ditch 3,46.9459622,-122.9606514
9,South Hanaford Creek,46.6951033,-122.8367914
10,Adna Wetland,46.638159,-123.0192967
11,Chehalis Oxbow Lake,46.6565,-123.095
12,Satsop Slough,46.9735,-123.487
13,Peoples Creek,47.7939883,-121.9842903
14,Cherry Creek,47.7684,-121.9603
15,E.F. Issaquah Creek,47.5362121,-122.0398415
16,Gillis Slough Pond,47.042464,-124.046567
17,Connor Creek,47.0911969,-124.1751764
18,Ditch along Hwy 109,47.0675,-124.111
19,Upper Cook Creek,47.36725,-124.026417
20,N.F. Whale Creek,47.4898032,-124.3424115
21,Steamboat Creek Bog,47.72,-124.31
22,James Pond,47.919444,-124.6
23,Lake Ozette Pond,48.114475,-124.600789
