a,b,Species1,Species2,PiA,PiB,p.valuePi,DA,DB,p.valueD,Group1,Group2
A,B,Wall Canyon,Warner,0.130700244527062,0.163754833292737,8.4072930143537e-24,1.96154201628393,1.30137689734309,9.9207834348646e-12,Wall Canyon,Honey Creek
A,C,Wall Canyon,Warner,0.130700244527062,0.160545354205531,6.97966652579756e-32,1.96154201628393,1.26919662891083,2.19725919092705e-12,Wall Canyon,Twentymile Creek
A,D,Wall Canyon,Warner,0.130700244527062,0.152810281001855,4.06228633353774e-29,1.96154201628393,0.629905823243097,3.13338009130475e-17,Wall Canyon,Deep Creek
A,E,Wall Canyon,Owens,0.130700244527062,0.183176248137731,5.53451536224986e-116,1.96154201628393,1.3138615067529,1.09172722348602e-11,Wall Canyon,Lower Hot Creek
A,F,Wall Canyon,Owens,0.130700244527062,0.201186395668919,3.7393916002522e-154,1.96154201628393,1.33310250028713,9.9207834348646e-12,Wall Canyon,Lower Rock Creek
B,C,Warner,Warner,0.163754833292737,0.160545354205531,0.992563222749583,1.30137689734309,1.26919662891083,0.780091570049859,Honey Creek,Twentymile Creek
B,D,Warner,Warner,0.163754833292737,0.152810281001855,0.794980755309666,1.30137689734309,0.629905823243097,1.32033318057476e-14,Honey Creek,Deep Creek
B,E,Warner,Owens,0.163754833292737,0.183176248137731,1.36509350357284e-23,1.30137689734309,1.3138615067529,0.364651524253768,Honey Creek,Lower Hot Creek
B,F,Warner,Owens,0.163754833292737,0.201186395668919,5.28761092768664e-43,1.30137689734309,1.33310250028713,0.588393955668641,Honey Creek,Lower Rock Creek
C,D,Warner,Warner,0.160545354205531,0.152810281001855,0.54182446291673,1.26919662891083,0.629905823243097,1.28790355868423e-13,Twentymile Creek,Deep Creek
C,E,Warner,Owens,0.160545354205531,0.183176248137731,2.77224736206942e-22,1.26919662891083,1.3138615067529,0.184488727904982,Twentymile Creek,Lower Hot Creek
C,F,Warner,Owens,0.160545354205531,0.201186395668919,4.61714102817787e-47,1.26919662891083,1.33310250028713,0.35381295756458,Twentymile Creek,Lower Rock Creek
D,E,Warner,Owens,0.152810281001855,0.183176248137731,1.30286082144599e-29,0.629905823243097,1.3138615067529,3.99455781220941e-13,Deep Creek,Lower Hot Creek
D,F,Warner,Owens,0.152810281001855,0.201186395668919,2.36352364118712e-58,0.629905823243097,1.33310250028713,1.31284249953344e-15,Deep Creek,Lower Rock Creek
E,F,Owens,Owens,0.183176248137731,0.201186395668919,9.06932038549956e-09,1.3138615067529,1.33310250028713,0.702011176969608,Lower Hot Creek,Lower Rock Creek
